word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5	part
дивизион	Решение правильное, теперь, когда в нашем <b><i>дивизионе</i></b> сосредоточены только горнодобывающие активы, наша средневзвешенная маржа будет больше.	После пристрелки пристрелочного орудия командир, руководящий пристрелкой, сообщает в штаб группы (дивизиона): а) снаряд, взрыватель и его установку; б) заряд; в) координаты репера; г) пристрелянную дальность и буссоль.	COMPARE	2.2	4	1	1	1	4	2
флакон	Какой из следующих вещей вам хочется обладать больше всего: а) прозрачной ночной рубашкой темного цвета; б) <b><i>флаконом</i></b> самых дорогих духов; в) хорошим плащом.	Кто-нибудь из молодых назначался ответственным за ахматовский багаж, кто-то постоянно находился возле нее с нитроглицерином под рукой -- другой <b><i>флакон</i></b> с нитроглицерином всегда лежал у нее в сумочке.	COMPARE	3.6	4	4	2	4	4	2
стаканчик	И она похудела бы, уверяю вас, если бы, слезая с велосипеда, не мчалась сейчас же на кухню стрельнуть бутерброд с сыром, пирожок с капустой и <b><i>стаканчик</i></b> молока заодно с чашечкой компота.	И я сразу -- даже не вспомнил, а прямо-таки снова увидал и почувствовал один день прошлого лета: Как приехали ко мне Ира Кудрявцева и Ольга Всеволодовна и попросили сопровождать их за город, к знакомому композитору, и мы поехали, и не застали его, и я лазил заглядывал в окна, и О.В. -- прелесть! -- ругалась на чем свет стоит, и мы пили водку из бумажных <b><i>стаканчиков</i></b> под начинающимся дождем, и дождались, наконец, хозяина.	EARLIER	3.6	3	4	4	4	3	2
флакон	В руках он держал маленький <b><i>флакон</i></b> и пипетку.	Малыш забрался в мою комнату, стащил со столика <b><i>флакон</i></b> хороших духов и разбил его.	COMPARE	3.4	4	3	4	2	4	2
тройка	Эй, любезные! -- гаркнул он среди всеобщей тишины и мертвого сна меблированных комнат, вообразив себя на ухарской <b><i>тройке.</i></b>	Спятил я свою <b><i>тройку,</i></b> взял топор в руки, подхожу к серому.	EARLIER	3.4	4	4	4	4	1	1
прозвище	"Прежде Алексей Сергеич сам во все входил -- и в поле выезжал, и на мельницу, и на маслобойню -- и в амбары, и в крестьянские избы заглядывал; всем знакомы были его беговые дрожки, обитые малиновым плисом и запряженные рослой лошадью с широкой проточиной во весь лоб, по <b><i>прозвищу</i></b> ""Фонарь"" -- из самого того знаменитого завода; Алексей Сергеич сам ею правил, закрутив концы вожжей на кулаки."	Этотъ послднй Барышъ просто течетъ въ Симбирской губерни, принимая начало въ Сызранскомъ узд ея, впадая въ Суру въ Алатырскомъ, изъ чего уже легко видть, что я говорю о рк, носящей столь значительное <b><i>прозвище.</i></b>	EARLIER	3.6	4	4	2	4	4	1
мазь	Я ответил, что её <b><i>мазь</i></b> оказалась бессильной, что она только усыпила меня и дала мне видение шабаша, вместо того чтобы реально перенести меня на место, где справляют свой праздник ведьмы.	"Зато она решила, что теперь надо смыть с черепа <b><i>мазь</i></b> и мыло, а то некрасиво: достала другую губку и полотенца, смыла Самсону темя, лоб, виски; хотела омыть и затылок, но нашла это невозможным и озабоченно прошептала: ""Жаль""."	EARLIER	4.0	4	4	4	4	4	1
стаканчик	Стёпка опустил руку со <b><i>стаканчиком.</i></b>	По залу уже разгуливали компании подвыпивших любителей живописи с пластиковыми <b><i>стаканчиками</i></b> в руках.	EARLIER	3.8	4	4	4	3	4	2
больница	В Рыковском есть школа, телеграф, <b><i>больница</i></b> и метеорологическая станция имени М.Н.	"Как испуган ""беглец"" Пашка первою смертью, которую он увидел на соседней койке в <b><i>больнице;</i></b> как бежал он через палату, где ""лежали и сидели на кроватях чудовища с длинными волосами и со старушечьими лицами""; как призывал он свою ""мамку""!"	EARLIER	4.0	4	4	4	4	4	1
казенный	Действительно, меня в такое <b><i>казенное</i></b> учебное заведение определили осенью 1880 года.	Нельзя позволить, чтобы забрызгивали слюной <b><i>казенного</i></b> умиления или заляпывали смачными площадными словечками то, что нам дороже всего на свете!	LATER	1.4	1	1	2	1	2	1
вирус	Эти данные указывают на несомненную значимость олигосахарида, прикрепленного в 131-й позиции, для ограничения круга хозяев <b><i>вируса</i></b> гриппа.	Оценку стабильности изученных признаков проводили после 5-10 последовательных пассажей в различных системах: а) через головной мозг белых мышей, так как в этих условиях патогенность <b><i>вируса</i></b> ЯЭ может повышаться; б) в культуре клеток ВНК-21, так как в этих условиях происходит стабилизация признака патогенности; в) в первичной культуре клеток куриного эмбриона, которая часто используется при работе с <b><i>вирусом</i></b> ЯЭ, но в которой из-за морфологической неоднородности и различной чувствительности к репродукции <b><i>вируса</i></b> ЯЭ может происходить изменение фенотипа <b><i>вируса</i></b> по некоторым параметрам.	LATER	4.0	4	4	4	4	4	2
взлом	Кражу со <b><i>взломом</i></b> пришлось учинить, чтоб не подводить врача, выписавшую люминал (Бочкову), которым первоначально намеревался воспользоваться.	-- Но ведь вы не обнаружили следов <b><i>взлома!</i></b> -- вскричал Володя.	EARLIER	4.0	4	4	4	4	4	2
вышка	"А он мне -- ответную волну: ""Где Нугзар, где добыча, все пиши, а то <b><i>вышка</i></b> маячит за убийство""."	Все часовые уже спустились со своих вышек, поэтому он без помех пролез через дыру в заборе позади кухни.	LATER	1.0	1	1	1	1	1	2
беспредел	"""Мне кажется, -- говорит депутат, -- что высшую точку информационного <b><i>беспредела</i></b> мы уже прошли, пора сбавить обороты."	"Война оборачивается гибелью мирных граждан и <b><i>беспределом</i></b> ""человека с ружьем"" независимо от того, носит он форму российского солдата или облачен в камуфляж чеченского боевика."	LATER	2.6	3	3	4	1	2	2
клиника	В начале 1924 г. принужден был совершенно отказаться от работы и 4 февраля 1924 г. поступил в <b><i>клинику.</i></b>	Для этой же цели высшие учебные заведения непременно должны быть снабжены обширными библиотеками, музеями, <b><i>клиниками,</i></b> лабораториями и тому подобными пособиями, при помощи которых учащиеся под опытным руководством могли бы готовиться к самостоятельной деятельности как в скромной области приложения современных знаний к действительности, так и в смелых попытках движения знаний вперед.	COMPARE	3.4	3	4	3	3	4	1
уклон	<b><i>Уклон</i></b> был небольшой, но несомненно вверх, и несколько нивелировок, произведенных в течение дня, подтвердили то, что видел глаз и что показывали собаки своим ходом.	Бомба в саду Черченова взорвалсь при следующих обстоятельствах: шесть человек поднимались по <b><i>уклону</i></b> с двумя бомбами; один, споткнувшись, упал; бомба взорвалась; силой взрыва взорвало другую бомбу; всех шестерых разорвало на части.	COMPARE	3.2	4	4	3	4	1	1
сомнение	Колпащиков, Г. Мясников, В. А. Иванченко, Н. В. Жужгов), но тут последние <b><i>сомнения</i></b> овладевают героем -- и вот это место я просто обязан вам прочитать, говорил Двигубский на ступенях Большой арки, листая черную книгу своими длинными пальцами, отстраняя ее от себя (как делают люди, у которых начинается дальнозоркость.	Не подлежит <b><i>сомнению,</i></b> что весь мой воспринятый опыт никогда мне не сможет дать такого же видения своей собственной внешней сплошной ограниченности; не только действительное восприятие, но и представления не могут построить такого кругозора, куда я входил бы весь без остатка как сплошь ограниченный.	COMPARE	3.8	4	4	3	4	4	2
пружина	На это он возражал, что такою же причиною самого себя является и моя <b><i>пружина;</i></b> и я только тогда успел заставить его замолчать, когда обратил внимание на то, что не заведенные ключом часы продолжают упорно стоять, невзирая ни на какое раскачивание маятника.	Галицкй прыгнулъ на твердую почву; но, длая напряжене прыгнуть, онъ задлъ <b><i>пружину</i></b> -- курокъ спустился, раздался выстрлъ.	EARLIER	2.2	4	1	1	4	1	1
дума	Хотя в этом и не было забвения прошлого, но он принес ей с собою то, что в ее <b><i>думах</i></b> и воспоминаниях все менее и менее оставалось теперь едкой горечи и тоскливого гнета.	А потом всю смуту в его душе, все противоречия покрывала собою радостная <b><i>дума</i></b> о том, что теперь настоящая, чистая жизнь скоро начнется для него.	EARLIER	4.0	4	4	4	4	4	1
машина	Для устранения этих недостатков, сопряженных с работой на швейной <b><i>машине,</i></b> Шеллер и компания в Нью-Йорке рекомендовал снаряд, который легко может быть приделан ко всякой <b><i>машине</i></b> и позволяет приводить ее в движение весьма легким давлением.	На монетном дворе две <b><i>машины</i></b> паровые.	EARLIER	2.6	2	2	3	2	4	1
прозвище	Тимкова, по <b><i>прозвищу</i></b> Богиня, рослая высокогрудая красавица русского типа, полулежала на своей койке в углу уже одетая в телогрейку и шаровары с неизменной короткой юбкой.	Благовые и Благие, которые потом стали почему-то писаться Благово (как некоторые и другие роды, например, Хитрово, Дурново, Белаго), считают родоначальниками своими князей Смоленских и Заболоцких, из которых один, по <b><i>прозвищу</i></b> Благой, так и стал называться и князем уже не писался.	COMPARE	4.0	4	4	4	4	4	1
переулок	В этом переулке целый квартал занимали бардаки, ход был прямо с Дерибасовской.	Апофеоз был в Камергерском переулке.	LATER	3.8	4	4	3	4	4	1
завязка	"""Ферези были у меня самые добрые рогозиные, а <b><i>завязки</i></b> мочальные, да и то люди за долг взяли"", -- жалуется он."	Я написал письмо Марии, которую знал с детства, получил ответ, что ждет, если не обману с <b><i>завязкой,</i></b> и приехал в Сосновку.	EARLIER	1.0	1	1	1	1	1	2
провальный	"Не случись <b><i>провального</i></b> ""второго октябрьского путча"", когда заговорщики спровоцировали резню внутри АСБ, такой сценарий мог бы получить самое печальное развитие."	Несколько крупных ошибок и <b><i>провальных</i></b> инициатив премьера-коммуниста хватит для того, чтобы обрушить рейтинг всей партии.	LATER	3.8	4	3	4	4	4	2
насаждение	С.-д. предпочитали видеть в союзах нейтральную почву для <b><i>насаждения</i></b> собственной культуры.	Все нас за зелень и <b><i>насаждения</i></b> хвалить станут.	LATER	1.2	1	1	1	1	2	1
смотритель	Когда-то Мало-Тымово было главным селением и центром местности, составляющей нынешний Тымовский округ, теперь же оно стоит в стороне и похоже на заштатный городок, в котором замерло все живое; о прежнем величии говорят здесь только небольшая тюрьма да дом, где живет тюремный <b><i>смотритель.</i></b>	Лет пятнадцать тому назад, когда я был <b><i>смотрителем</i></b> усманской тюрьмы, и...	EARLIER	4.0	4	4	4	4	4	1
директор	-- Вот ордер, -- сказал <b><i>директор,</i></b> не глядя на меня.	В этом заседании я, между прочим, внес предложение, чтобы в театре кружка в течение, по крайней мере, первого сезона не шли пьесы <b><i>директоров</i></b> и режиссера.	COMPARE	4.0	4	4	4	4	4	1
трубка	После послеобеденного сна отставной исправник выходил в халате и с <b><i>трубкой</i></b> на улицу и садился на крылечко.	Тот с некоторою рассеянностью слушал его и беспрестанно смотрел в подзорную <b><i>трубку.</i></b>	EARLIER	1.0	1	1	1	1	1	1
тройка	Но, увлекаясь поисками троек и семерок в тексте пушкинской повести, эти исследователи, как мне кажется, подчас утрачивают чувство меры и создают умозрительные, хотя и не лишенные остроумия построения.	В один из таких ясных и тихих дней, звеня бубенцами и колокольчиками, ворвались в наше село две <b><i>тройки</i></b> ямских коней.	LATER	1.0	1	1	1	1	1	1
осуществимый	Самые оптимистические предположения о благоприятном отклике экономики на снижение налогов <b><i>осуществимы</i></b> только при сохранении этой стабильности.	Действительно, такое путешествие было вполне <b><i>осуществимо.</i></b>	COMPARE	4.0	4	4	4	4	4	2
рыночный	"Как нам представляется, ее теоретические положения позволяют понять логику практических шагов ""ЯБЛОКА"" В результате деятельности ряда правительств эпохи президента Ельцина в России сложилась политико-экономическая система, весьма отличная от классических представлений о <b><i>рыночной</i></b> демократии."	Ночью, пошатываясь, он вошел в таверну, где пили купцы, офицеры гвардии драбантов, кавалеристы и <b><i>рыночные</i></b> менялы.	COMPARE	2.0	4	1	3	1	1	2
элемент	В это время в его старую схему вторгались лишь некоторые новые <b><i>элементы,</i></b> вызванные к жизни новыми запросами к искусству и тем особенно показательные.	Эти <b><i>элементы</i></b> здесь, на Земле, почти все устойчивы и неизменны, за исключением немногих радиоактивных -- самораспадающихся -- <b><i>элементов,</i></b> к которым относится приобретший столь широкую известность уран, а также торий, радий, полоний.	LATER	1.8	1	1	2	4	1	1
смотритель	Только <b><i>смотритель</i></b> Яжелбицкой станции и говорит покойному: не угодно ли, говорит, вашему высокоблагородию -- он тогда еще полковником был -- ухи из форелей откушать у нас, говорит, преотменные в озере ловятся!	<b><i>Смотритель</i></b> памятника Снова разной формы и цвета экипажи стали запруживать каждый день, в приемные часы светлейшего, Миллионную улицу.	EARLIER	3.4	3	4	4	4	2	1
двушка	"Въ центр представленiя стоятъ два ""соперника"" -- офицеръ и сержантъ, любовники одной и той же французской <b><i>двушки.</i></b>"	"И тотчасъ она почувствовала, что легкй крикъ удался, что она сдлала то самое ""гибкое, порывистое движене"", которое длаютъ красивыя <b><i>двушки</i></b> въ романахъ, и что платье облекаетъ ее превосходно."	EARLIER	3.4	1	4	4	4	4	2
вышка	А гогот да вскрики эти уж понеслись вдоль дороги эхом, сыпались с вышек, тупо, меленько, как градины.	"Гербы строек эпохи Восстановления, нефтяных вышек Андаррана, портового комплекса на границе с Ашшуром, медных рудников, хуррумских угольных шахт и даже железной дороги ""Ниневия-Евфрат, Трансмеждуречье""."	LATER	2.6	4	1	3	2	3	2
рождество	С <b><i>Рождеством.</i></b>	О, если бы эта радость, которую даровал нам Господь Своим преславным <b><i>Рождеством</i></b> от Пречистой Девы, всегда пребывала с нами!	LATER	3.2	3	4	4	4	1	2
карта	"Он рассказал, что правительство обсуждало и приняло ""карту стратегических интересов Израиля"", то есть по существу параметры окончательного урегулирования."	Каждая выдаваемая таким образом <b><i>карта</i></b> закрепляется за конкретным WM-идентификатором.	LATER	1.2	1	1	1	2	1	2
флакон	-- Второй <b><i>флакон</i></b> пошёл, -- так же тихо отвечает анестезиолог.	В центре размещался большой стол, покрытый клеенкой; рядом стояли кровать и тумбочка, на которой блестел ровный ряд граненых <b><i>флаконов.</i></b>	LATER	3.8	4	4	4	4	3	2
свалка	Порою завязывались драки между пьяной скандальной компанией и швейцарами изо всех заведений, сбегавшимися на выручку товарищу швейцару, -- драка, во время которой разбивались стекла в окнах и фортепианные деки, когда выламывались, как оружие, ножки у плюшевых стульев, кровь заливала паркет в зале и ступеньки лестницы, и люди с проткнутыми боками и проломленными головами валились в грязь у подъезда, к звериному, жадному восторгу Женьки, которая с горящими глазами, со счастливым смехом лезла в самую гущу <b><i>свалки,</i></b> хлопала себя по бедрам, бранилась и науськивала, в то время как ее подруги визжали от страха и прятались под кровати.	Нигилисты ревут и плещут руками, потому что в этой <b><i>свалке</i></b> убит г.	EARLIER	3.4	4	4	4	4	1	1
гололед	С <b><i>гололедом</i></b> надо бороться!	Каких только способов не предлагали вездесущие изобретатели для предотвращения скольжения ног на тротуарах во время <b><i>гололеда.</i></b>	EARLIER	4.0	4	4	4	4	4	2
гололед	Местный центр, но -- тоже <b><i>гололед,</i></b> снующие туда-сюда люди проскальзываются то и дело.	Раньше улицы в Томске очищали от рыхлого снега, а во время <b><i>гололеда</i></b> взвозы и автобусные остановки посыпали шлаком или песком.	COMPARE	3.8	4	3	4	4	4	2
провальный	Я потаскал ложкой омлета со сковородки, чувствуя, что ложка делается все тяжелее и тяжелее, самого меня все выше и выше поднимало на воздуси и качало там в тошнотной, <b><i>провальной</i></b> пустоте.	Ощущался душный <b><i>провальный</i></b> надир* в общественной жизни: новые аресты, другим -- угрозы, и тут же -- отрешённые отъезды за границу.	EARLIER	2.0	3	4	1	1	1	2
перестройка	Интереснее приходить на объект в стадии <b><i>перестройки,</i></b> когда ты сразу, вместе с архитектором, можешь принять принципиальные решения -- где расположить камин, печку, колонны.	Во-первых, он не задается самокритичным вопросом: почему, собственно, нечто кажется наиболее разумным и рациональным Что убедило в правильности <b><i>Перестройки</i></b> с самого начала Какие из исходных посылок могли со временем обнаружить свою недостаточную прочность Во-вторых, нормативный подход фактически отождествляет выгоду и пользу для всего общества с выгодой и пользой для конкретного человека уже сегодня.	LATER	1.6	1	1	1	4	1	2
