word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5
машина	"Стали ломать матрицы, вставлять в <b><i>машину</i></b> ""ё"", доливать на словолитне шрифты, на пишущих <b><i>машинках</i></b> буквы нет, так две точки над ""е"" ставили руками, полетели приказы."	Невиданный размах производства льнотеребилок в СССР, высокие темпы модернизации и разработки новых <b><i>машин</i></b> послужили своеобразным катализатором для зарубежных фирм.	LATER	2.2	1	2	2	2	4
машина	Теперь же оказывалось, что т двое, сломавъ <b><i>машину,</i></b> спрятали ее, сами притаились было, но погодя, благоразумно объявились.	Куриная заявила приставу 2 полиц. части, что украденная у нее в апреле мес. швейная <b><i>машина</i></b> находится на Покровской площади, в доме Соломко, где действительно эта <b><i>машина</i></b> и была найдена; при чем новая хозяйка ее предъявила расписку, из которой видно, что <b><i>машина</i></b> куплена Соломко 30 апреля этого года у М. Пастуновой за 35 руб.	COMPARE	2.6	4	1	3	4	1
машина	Теперь из окон можно было осмотреть <b><i>машину.</i></b>	-- Хорошо, а где <b><i>машина</i></b> находится -- Метров пять от берега.	LATER	4.0	4	4	4	4	4
машина	Топором <b><i>машину</i></b> не чинят.	"А раз был такой случай: ""При приближении поезда X., желая удержать мою Бетси, поднял руку; лошадь, испугавшись взмаха руки и свистка <b><i>машины,</i></b> вдруг поднялась на дыбы и выбила меня из седла; я упала всей тяжестью на левую сторону."	COMPARE	3.6	3	4	4	4	3
машина	Точно так же колхозом производится доставка с.-х. <b><i>машин</i></b> и орудий с ж.-д. станции или пристани на усадьбу МТС и с усадьбы к месту работы и обратно.	Перешли к <b><i>машинам,</i></b> где из листов выбиваются кружки.	COMPARE	2.0	1	2	4	1	2
машина	Тут я впервые приоделся как следует, попил-поел вволю; опять же дача, <b><i>машина,</i></b> сертификаты, за границу меня стали понемногу выпускать, сначала в соцстраны, потом глядишь, и в Италию съездил; докторская у меня была уже на подходе, в институте мои недоброжелатели приутихли.	"""Одно из средств, -- говорится в ""Земледельческой газете"", -- выхода из настоящего критического положения заключается в сумме тех мер, которые могут поднять хозяйство землевладельцев, вызвать улучшенное хозяйствование, следовательно, прекращение системы сдачи полей кругами, устройство батрачного хозяйства, введение усовершенствованных <b><i>машин,</i></b> орудий, пород скота, многопольной системы, улучшение лугов и выгонов и пр. и пр.""."	COMPARE	2.0	2	1	3	1	3
машина	У нас на постирушечки две женщины приставлены особо, а белье все <b><i>машиной.</i></b>	"Стачки бывали в России и в 70-х и в 60-х годах (и даже в первой половине XIX века), сопровождаясь ""стихийным"" разрушением <b><i>машин</i></b> и т. п. По сравнению с этими ""бунтами"" стачки 90-х годов можно даже назвать ""сознательными"" -- до такой степени значителен тот шаг вперед, который сделало за это время рабочее движение."	EARLIER	1.6	1	2	3	1	1
машина	Удрав с Радио до срока, покатил к старым доблестным моим морякам -- зенитчикам на Глинка-стрит, дабы просить <b><i>машину</i></b> под дрова.	На заводе, как на настоящей фабрике-кухне, весь процесс формирования продукции осуществляется в закрытых <b><i>машинах.</i></b>	LATER	1.4	1	1	3	1	1
машина	Через сверкающие окна видны колеса, огни, <b><i>машины.</i></b>	"Гулять на улицу меня не пускали, да и некогда было гулять, -- работа всё росла; теперь, кроме обычного труда за горничную, дворника и ""мальчика на посылках"", я должен был ежедневно набивать гвоздями на широкие доски коленкор, наклеивать на него чертежи, переписывать сметы строительных работ хозяина, проверять счета подрядчиков, -- хозяин работал с утра до ночи, как <b><i>машина.</i></b>"	COMPARE	1.8	3	1	2	1	2
машина	Эта <b><i>машина</i></b> имеет вид щипцов, обе половины которых удивительно своеобразно сконструированы.	Так, например, в Англии в некоторых больших школах, где мальчики живут по пятидесяти и даже по двести человек у учителей, начальники этих пансионов сдают чистку сапог особому предпринимателю, который берет на себя вычистить каждое утро на <b><i>машине</i></b> тысячу пар сапог.	EARLIER	3.0	1	4	3	4	3
машина	Это потому, что над землей и в земле стучали без отдыха <b><i>машины,</i></b> вертелись чугунные колеса, бежали канаты.	Новая пиловалная <b><i>машина,</i></b> в которой будет лес пиловатся. д.	EARLIER	3.6	4	4	4	3	3
машина	Я тоже буду куда-то все время мчаться, несмотря на то что зимой мчаться как раз не следует, потому что скользко и <b><i>машину</i></b> то и дело заносит.	Или по каким-нибудь впечатлениям, которые они могли бы произвести на наши молодые натуры; мы просто отходили от них, как от <b><i>машин,</i></b> перестававших действовать, и духовные связи с учителями порывались в минуту, когда кончались отношения ученика к учителю.	COMPARE	1.4	2	1	1	1	2
переулок	-- В гости не зову пока, Гела... вот на новую квартеру переберусь, тогда и съедемся, -- говорил Заварихин, и тут за разговором оказалось, что они почти достигли того самого переулка, откуда началось их нынешнее свадебное путешествие.	"(""В десять минут добегу по Моховой и Волхонке до Пречистенских ворот, а там пять минут переулками до Молчановки, только и всего."	LATER	3.4	4	2	4	3	4
переулок	-- Нам должно идти вот этим переулком.	На площади против дворца -- другая картина: под небом почти черным, темная вода вертелась как в огромном водовороте; по воздуху, высоко и быстро крутясь, носились широкие листы железа, сорванные с крыши нового строения Главного штаба; буря играла ими как пухом; два длинные деревянные тротуара, поперек между заборов недоконченного здания, сделали плотину, на которую волны упирали с ревом, и достигнув высоты ее, полились в Малую Миллионную; в Большую Миллионную, через узкий <b><i>переулок,</i></b> выходящий на Неву, вдвинуло водой огромную барку, перегородившую улицу.	EARLIER	4.0	4	4	4	4	4
переулок	А потом я остался один в переулке.	"Народный артист Качалов идет вечером по Камергерскому переулку в театр играть ""Воскресение""."	LATER	4.0	4	4	4	4	4
переулок	А утром снова отплыл с удочками в какой-то кривоколенный озерной <b><i>переулок.</i></b>	Вот мы проехали Загородный проспект, вот въехали на Измайловский, вот в переулке ее дом, и на ее окне направо выставлен знак безопасности -- подсвечник, -- снимавшийся на ночь.	COMPARE	2.4	4	2	1	1	4
переулок	Безайс свернул в <b><i>переулок,</i></b> но там стоял целый обоз.	Страшное дело кровавой красавицы Коротенький Гусев <b><i>переулок,</i></b> соединяющий Лиговку со Знаменской улицей, в то время не был еще застроен пятиэтажными домами и казался огороженным с двух сторон заборами.	COMPARE	4.0	4	4	4	4	4
переулок	Близко подошла вода к Титовскому переулку, к Андреевской богадельне, к дрожжевому заводу Афремова.	"Я отправился в редакцию ""Кошницы"", которая помещалась в Троицком переулке."	EARLIER	4.0	4	4	4	4	4
переулок	В деревне лает собака, квохчет курица, мычит корова, а здесь было беззвучно-тихо, как может быть тихо в пустынной городской квартире на малопроезжем переулке днем, о ту пору, когда дети в школах, а старшие -- на службе.	Начало отъезда -- два извозчика перед воротами нашего двора в Никольском переулке.	LATER	2.6	3	2	4	2	2
переулок	В этом переулке целый квартал занимали бардаки, ход был прямо с Дерибасовской.	Апофеоз был в Камергерском переулке.	LATER	3.8	4	4	3	4	4
переулок	Вдруг, с ребяческим наслаждением, я заметил, что Макс наполовину вытащил из кармана револьвер, но всадник повернул в <b><i>переулок.</i></b>	5. [Б. Троицкий пер.	COMPARE	3.8	4	4	3	4	4
переулок	Владимира Вноровского я мог предупредить еще раньше: он, извозчик, должен был ожидать меня в час дня в Долгоруковском переулке.	Случайный выстрел 14 марта проживающая в доме Борисова, в Большом Вражеском переулке, кр.	EARLIER	4.0	4	4	4	4	4
переулок	Во-вторых, кабаков было не больше пяти-шести на весь город; теперь на каждый <b><i>переулок</i></b> не менее пяти-шести кабаков.	А за ним, снизу от Ножовой линии, сбоку из Черкасского переулка, сверху от Ильинских ворот ползет товар, и над этой колышущейся полосой из лошадей, экипажей, возов, людских голов стоит стон: рубль купца, спина мужика поют свою нескончаемую песню.	EARLIER	3.4	4	3	2	4	4
переулок	Возмутительная кража 4 марта проживающий в доме Матюшина, в 1-м Крутицокм переулке, кр. Алексей Туманов обнаружил, что во время выноса из квартиры гроба с покойной его дочерью, злоумышленники обшарили оставленные без присмотра комнаты, из которых похитили разное платье, стоющее 140 руб.	Он ушел в <b><i>переулок,</i></b> а мы -- своей дорогой.	EARLIER	3.0	3	4	4	1	3
переулок	"Возражений не было, мы отправились в магазин ""Скороход"" в Столешниковом переулке."	"Наконец, когда начало светать, в <b><i>переулок</i></b> ворвался ""ситроен"", приземистый и дорогой."	LATER	3.8	3	4	4	4	4
